6677.6s 1 
6677.6s 2 This could be a false alarm, with some parameters getting used by language bindings but
6677.6s 3 then being mistakenly passed down to XGBoost core, or some parameter actually being used
6677.6s 4 but getting flagged wrongly here. Please open an issue if you find any such cases.
6677.6s 5 
6677.6s 6 
6677.6s 7 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6677.6s 8 UserWarning,
6677.6s 9 [0]	validation_0-mlogloss:1.70836
6718.3s 490 [13]	validation_0-mlogloss:0.89727
6718.3s 491 [14]	validation_0-mlogloss:0.87362
6718.3s 492 [15]	validation_0-mlogloss:0.85157
6718.3s 493 [16]	validation_0-mlogloss:0.83161
6718.4s 494 [17]	validation_0-mlogloss:0.81254
6718.4s 495 [18]	validation_0-mlogloss:0.79590
6718.4s 496 [19]	validation_0-mlogloss:0.78080
6718.4s 497 [20]	validation_0-mlogloss:0.76633
6718.4s 498 [21]	validation_0-mlogloss:0.75324
6718.5s 499 [22]	validation_0-mlogloss:0.74085
6718.5s 500 [23]	validation_0-mlogloss:0.72997
6718.5s 501 [24]	validation_0-mlogloss:0.71980
6718.5s 502 [25]	validation_0-mlogloss:0.71010
6718.5s 503 [26]	validation_0-mlogloss:0.70125
6718.6s 504 [27]	validation_0-mlogloss:0.69325
6718.6s 505 [28]	validation_0-mlogloss:0.68532
6718.6s 506 [29]	validation_0-mlogloss:0.67795
6718.6s 507 [30]	validation_0-mlogloss:0.67030
6718.6s 508 [31]	validation_0-mlogloss:0.66276
6718.6s 509 [32]	validation_0-mlogloss:0.65620
6718.7s 510 [33]	validation_0-mlogloss:0.65017
6718.7s 511 [34]	validation_0-mlogloss:0.64438
6718.7s 512 [35]	validation_0-mlogloss:0.63895
6718.7s 513 [36]	validation_0-mlogloss:0.63405
6718.7s 514 [37]	validation_0-mlogloss:0.62825
6718.7s 515 [38]	validation_0-mlogloss:0.62401
6718.8s 516 [39]	validation_0-mlogloss:0.61888
6718.8s 517 [40]	validation_0-mlogloss:0.61413
6718.8s 518 [41]	validation_0-mlogloss:0.60978
6718.8s 519 [42]	validation_0-mlogloss:0.60526
6718.8s 520 [43]	validation_0-mlogloss:0.60137
6718.9s 521 [44]	validation_0-mlogloss:0.59760
6718.9s 522 [45]	validation_0-mlogloss:0.59409
6718.9s 523 [46]	validation_0-mlogloss:0.59094
6718.9s 524 [47]	validation_0-mlogloss:0.58748
6718.9s 525 [48]	validation_0-mlogloss:0.58509
6719.0s 526 [49]	validation_0-mlogloss:0.58196
6719.0s 527 [50]	validation_0-mlogloss:0.57945
6719.0s 528 [51]	validation_0-mlogloss:0.57673
6719.0s 529 [52]	validation_0-mlogloss:0.57359
6719.0s 530 [53]	validation_0-mlogloss:0.57171
6719.0s 531 [54]	validation_0-mlogloss:0.56956
6719.1s 532 [55]	validation_0-mlogloss:0.56669
6719.1s 533 [56]	validation_0-mlogloss:0.56506
6719.1s 534 [57]	validation_0-mlogloss:0.56253
6719.1s 535 [58]	validation_0-mlogloss:0.56043
6719.1s 536 [59]	validation_0-mlogloss:0.55849
6719.2s 537 [60]	validation_0-mlogloss:0.55677
6719.2s 538 [61]	validation_0-mlogloss:0.55508
6719.2s 539 [62]	validation_0-mlogloss:0.55311
6719.2s 540 [63]	validation_0-mlogloss:0.55166
6719.2s 541 [64]	validation_0-mlogloss:0.54971
6719.2s 542 [65]	validation_0-mlogloss:0.54757
6719.3s 543 [66]	validation_0-mlogloss:0.54562
6719.3s 544 [67]	validation_0-mlogloss:0.54398
6719.3s 545 [68]	validation_0-mlogloss:0.54235
6719.3s 546 [69]	validation_0-mlogloss:0.54054
6719.3s 547 [70]	validation_0-mlogloss:0.53885
6719.4s 548 [71]	validation_0-mlogloss:0.53714
6719.4s 549 [72]	validation_0-mlogloss:0.53584
6719.4s 550 [73]	validation_0-mlogloss:0.53410
6719.4s 551 [74]	validation_0-mlogloss:0.53290
6719.4s 552 [75]	validation_0-mlogloss:0.53165
6719.5s 553 [76]	validation_0-mlogloss:0.53043
6719.5s 554 [77]	validation_0-mlogloss:0.52903
6719.5s 555 [78]	validation_0-mlogloss:0.52774
6719.5s 556 [79]	validation_0-mlogloss:0.52645
6719.5s 557 [80]	validation_0-mlogloss:0.52536
6719.6s 558 [81]	validation_0-mlogloss:0.52406
6719.6s 559 [82]	validation_0-mlogloss:0.52313
6719.6s 560 [83]	validation_0-mlogloss:0.52184
6719.6s 561 [84]	validation_0-mlogloss:0.52059
6719.6s 562 [85]	validation_0-mlogloss:0.51974
6719.6s 563 [86]	validation_0-mlogloss:0.51868
6719.7s 564 [87]	validation_0-mlogloss:0.51701
6719.7s 565 [88]	validation_0-mlogloss:0.51620
6719.7s 566 [89]	validation_0-mlogloss:0.51506
6719.7s 567 [90]	validation_0-mlogloss:0.51406
6719.7s 568 [91]	validation_0-mlogloss:0.51320
6719.8s 569 [92]	validation_0-mlogloss:0.51239
6719.8s 570 [93]	validation_0-mlogloss:0.51166
6719.8s 571 [94]	validation_0-mlogloss:0.51098
6719.8s 572 [95]	validation_0-mlogloss:0.51021
6719.8s 573 [96]	validation_0-mlogloss:0.50974
6719.8s 574 [97]	validation_0-mlogloss:0.50857
6719.9s 575 [98]	validation_0-mlogloss:0.50732
6719.9s 576 [99]	validation_0-mlogloss:0.50629
6719.9s 577 [32m[I 2022-06-15 17:54:47,402][0m Trial 10 finished with value: 0.8009499136442142 and parameters: {'xgb_est': 100, 'xgb_lr': 0.1, 'xgb_booster': 'gbtree'}. Best is trial 9 with value: 0.8009499136442142.[0m
6719.9s 578 precision    recall  f1-score   support
6719.9s 579 
6719.9s 580 0       1.00      1.00      1.00       413
6719.9s 581 1       0.64      0.64      0.64       413
6719.9s 582 2       0.83      0.95      0.88       411
6719.9s 583 3       1.00      1.00      1.00       389
6719.9s 584 4       0.56      0.58      0.57       380
6719.9s 585 5       0.75      0.57      0.65       310
6719.9s 586 
6719.9s 587 accuracy                           0.80      2316
6719.9s 588 macro avg       0.80      0.79      0.79      2316
6719.9s 589 weighted avg       0.80      0.80      0.80      2316
6719.9s 590 
6720.0s 591 (44004, 75)
6720.0s 592 (44004,)
6720.0s 593 (2316, 75)
6720.0s 594 (2316,)
6720.1s 595 [0]	validation_0-mlogloss:1.63593
6720.1s 596 [1]	validation_0-mlogloss:1.51549
6720.1s 597 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6720.1s 598 UserWarning,
6720.1s 599 [2]	validation_0-mlogloss:1.41681
6720.2s 600 [3]	validation_0-mlogloss:1.33329
6720.2s 601 [4]	validation_0-mlogloss:1.26264
6720.2s 602 [5]	validation_0-mlogloss:1.20128
6720.2s 603 [6]	validation_0-mlogloss:1.14691
6720.2s 604 [7]	validation_0-mlogloss:1.09939
6720.3s 605 [8]	validation_0-mlogloss:1.05741
6720.3s 606 [9]	validation_0-mlogloss:1.01892
6720.3s 607 [10]	validation_0-mlogloss:0.98501
6720.3s 608 [11]	validation_0-mlogloss:0.95323
6720.3s 609 [12]	validation_0-mlogloss:0.92339
6720.4s 610 [13]	validation_0-mlogloss:0.89727
6720.4s 611 [14]	validation_0-mlogloss:0.87362
6720.4s 612 [15]	validation_0-mlogloss:0.85157
6720.4s 613 [16]	validation_0-mlogloss:0.83161
6720.4s 614 [17]	validation_0-mlogloss:0.81254
6720.5s 615 [18]	validation_0-mlogloss:0.79590
6720.5s 616 [19]	validation_0-mlogloss:0.78080
6720.5s 617 [20]	validation_0-mlogloss:0.76633
6720.5s 618 [21]	validation_0-mlogloss:0.75324
6720.5s 619 [22]	validation_0-mlogloss:0.74085
6720.6s 620 [23]	validation_0-mlogloss:0.72997
6720.6s 621 [24]	validation_0-mlogloss:0.71980
6720.6s 622 [25]	validation_0-mlogloss:0.71010
6720.6s 623 [26]	validation_0-mlogloss:0.70125
6720.6s 624 [27]	validation_0-mlogloss:0.69325
6720.7s 625 [28]	validation_0-mlogloss:0.68532
6720.7s 626 [29]	validation_0-mlogloss:0.67795
6720.7s 627 [30]	validation_0-mlogloss:0.67030
6720.7s 628 [31]	validation_0-mlogloss:0.66276
6720.7s 629 [32]	validation_0-mlogloss:0.65620
6720.7s 630 [33]	validation_0-mlogloss:0.65017
6720.8s 631 [34]	validation_0-mlogloss:0.64438
6720.8s 632 [35]	validation_0-mlogloss:0.63895
6720.8s 633 [36]	validation_0-mlogloss:0.63405
6720.8s 634 [37]	validation_0-mlogloss:0.62825
6720.8s 635 [38]	validation_0-mlogloss:0.62401
6720.9s 636 [39]	validation_0-mlogloss:0.61888
6720.9s 637 [40]	validation_0-mlogloss:0.61413
6720.9s 638 [41]	validation_0-mlogloss:0.60978
6720.9s 639 [42]	validation_0-mlogloss:0.60526
6720.9s 640 [43]	validation_0-mlogloss:0.60137
6720.9s 641 [44]	validation_0-mlogloss:0.59760
6721.0s 642 [45]	validation_0-mlogloss:0.59409
6721.0s 643 [46]	validation_0-mlogloss:0.59094
6721.0s 644 [47]	validation_0-mlogloss:0.58748
6721.0s 645 [48]	validation_0-mlogloss:0.58509
6721.0s 646 [49]	validation_0-mlogloss:0.58196
6721.1s 647 [50]	validation_0-mlogloss:0.57945
6721.1s 648 [51]	validation_0-mlogloss:0.57673
6721.1s 649 [52]	validation_0-mlogloss:0.57359
6721.1s 650 [53]	validation_0-mlogloss:0.57171
6721.1s 651 [54]	validation_0-mlogloss:0.56956
6721.1s 652 [55]	validation_0-mlogloss:0.56669
6721.2s 653 [56]	validation_0-mlogloss:0.56506
6721.2s 654 [57]	validation_0-mlogloss:0.56253
6721.2s 655 [58]	validation_0-mlogloss:0.56043
6721.2s 656 [59]	validation_0-mlogloss:0.55849
6721.2s 657 [60]	validation_0-mlogloss:0.55677
6721.3s 658 [61]	validation_0-mlogloss:0.55508
6721.3s 659 [62]	validation_0-mlogloss:0.55311
6721.3s 660 [63]	validation_0-mlogloss:0.55166
6721.3s 661 [64]	validation_0-mlogloss:0.54971
6721.3s 662 [65]	validation_0-mlogloss:0.54757
6721.4s 663 [66]	validation_0-mlogloss:0.54562
6721.4s 664 [67]	validation_0-mlogloss:0.54398
6721.4s 665 [68]	validation_0-mlogloss:0.54235
6721.4s 666 [69]	validation_0-mlogloss:0.54054
6721.4s 667 [70]	validation_0-mlogloss:0.53885
6721.4s 668 [71]	validation_0-mlogloss:0.53714
6721.5s 669 [72]	validation_0-mlogloss:0.53584
6721.5s 670 [73]	validation_0-mlogloss:0.53410
6721.5s 671 [74]	validation_0-mlogloss:0.53290
6721.5s 672 [75]	validation_0-mlogloss:0.53165
6721.5s 673 [76]	validation_0-mlogloss:0.53043
6721.6s 674 [77]	validation_0-mlogloss:0.52903
6721.6s 675 [78]	validation_0-mlogloss:0.52774
6721.6s 676 [79]	validation_0-mlogloss:0.52645
6721.6s 677 [80]	validation_0-mlogloss:0.52536
6721.6s 678 [81]	validation_0-mlogloss:0.52406
6721.7s 679 [82]	validation_0-mlogloss:0.52313
6721.7s 680 [83]	validation_0-mlogloss:0.52184
6721.7s 681 [84]	validation_0-mlogloss:0.52059
6721.7s 682 [85]	validation_0-mlogloss:0.51974
6721.7s 683 [86]	validation_0-mlogloss:0.51868
6721.7s 684 [87]	validation_0-mlogloss:0.51701
6721.8s 685 [88]	validation_0-mlogloss:0.51620
6721.8s 686 [89]	validation_0-mlogloss:0.51506
6721.8s 687 [90]	validation_0-mlogloss:0.51406
6721.8s 688 [91]	validation_0-mlogloss:0.51320
6721.8s 689 [92]	validation_0-mlogloss:0.51239
6721.9s 690 [93]	validation_0-mlogloss:0.51166
6721.9s 691 [94]	validation_0-mlogloss:0.51098
6721.9s 692 [95]	validation_0-mlogloss:0.51021
6721.9s 693 [96]	validation_0-mlogloss:0.50974
6721.9s 694 [97]	validation_0-mlogloss:0.50857
6721.9s 695 [98]	validation_0-mlogloss:0.50732
6722.0s 696 [99]	validation_0-mlogloss:0.50629
6722.0s 697 precision    recall  f1-score   support
6722.0s 698 
6722.0s 699 0       1.00      1.00      1.00       413
6722.0s 700 1       0.64      0.64      0.64       413
6722.0s 701 2       0.83      0.95      0.88       411
6722.0s 702 3       1.00      1.00      1.00       389
6722.0s 703 4       0.56      0.58      0.57       380
6722.0s 704 5       0.75      0.57      0.65       310
6722.0s 705 
6722.0s 706 accuracy                           0.80      2316
6722.0s 707 macro avg       0.80      0.79      0.79      2316
6722.0s 708 weighted avg       0.80      0.80      0.80      2316
6722.0s 709 
6722.0s 710 [32m[I 2022-06-15 17:54:49,511][0m Trial 11 finished with value: 0.8009499136442142 and parameters: {'xgb_est': 100, 'xgb_lr': 0.1, 'xgb_booster': 'gbtree'}. Best is trial 9 with value: 0.8009499136442142.[0m
6722.1s 711 (44004, 75)
6722.1s 712 (44004,)
6722.1s 713 (2316, 75)
6722.1s 714 (2316,)
6722.2s 715 [0]	validation_0-mlogloss:1.63593
6722.2s 716 [1]	validation_0-mlogloss:1.51549
6722.2s 717 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6722.2s 718 UserWarning,
6722.2s 719 [2]	validation_0-mlogloss:1.41681
6722.3s 720 [3]	validation_0-mlogloss:1.33329
6722.3s 721 [4]	validation_0-mlogloss:1.26264
6722.3s 722 [5]	validation_0-mlogloss:1.20128
6722.3s 723 [6]	validation_0-mlogloss:1.14691
6722.4s 724 [7]	validation_0-mlogloss:1.09939
6722.4s 725 [8]	validation_0-mlogloss:1.05741
6722.4s 726 [9]	validation_0-mlogloss:1.01892
6722.4s 727 [10]	validation_0-mlogloss:0.98501
6722.4s 728 [11]	validation_0-mlogloss:0.95323
6722.5s 729 [12]	validation_0-mlogloss:0.92339
6722.5s 730 [13]	validation_0-mlogloss:0.89727
6722.5s 731 [14]	validation_0-mlogloss:0.87362
6722.5s 732 [15]	validation_0-mlogloss:0.85157
6722.5s 733 [16]	validation_0-mlogloss:0.83161
6722.5s 734 [17]	validation_0-mlogloss:0.81254
6722.6s 735 [18]	validation_0-mlogloss:0.79590
6722.6s 736 [19]	validation_0-mlogloss:0.78080
6722.6s 737 [20]	validation_0-mlogloss:0.76633
6722.6s 738 [21]	validation_0-mlogloss:0.75324
6722.6s 739 [22]	validation_0-mlogloss:0.74085
6722.7s 740 [23]	validation_0-mlogloss:0.72997
6722.7s 741 [24]	validation_0-mlogloss:0.71980
6722.7s 742 [25]	validation_0-mlogloss:0.71010
6722.7s 743 [26]	validation_0-mlogloss:0.70125
6722.7s 744 [27]	validation_0-mlogloss:0.69325
6722.8s 745 [28]	validation_0-mlogloss:0.68532
6722.8s 746 [29]	validation_0-mlogloss:0.67795
6722.8s 747 [30]	validation_0-mlogloss:0.67030
6722.8s 748 [31]	validation_0-mlogloss:0.66276
6722.8s 749 [32]	validation_0-mlogloss:0.65620
6722.8s 750 [33]	validation_0-mlogloss:0.65017
6722.9s 751 [34]	validation_0-mlogloss:0.64438
6722.9s 752 [35]	validation_0-mlogloss:0.63895
6722.9s 753 [36]	validation_0-mlogloss:0.63405
6722.9s 754 [37]	validation_0-mlogloss:0.62825
6722.9s 755 [38]	validation_0-mlogloss:0.62401
6723.0s 756 [39]	validation_0-mlogloss:0.61888
6723.0s 757 [40]	validation_0-mlogloss:0.61413
6723.0s 758 [41]	validation_0-mlogloss:0.60978
6723.0s 759 [42]	validation_0-mlogloss:0.60526
6723.0s 760 [43]	validation_0-mlogloss:0.60137
6723.1s 761 [44]	validation_0-mlogloss:0.59760
6723.1s 762 [45]	validation_0-mlogloss:0.59409
6723.1s 763 [46]	validation_0-mlogloss:0.59094
6723.1s 764 [47]	validation_0-mlogloss:0.58748
6723.1s 765 [48]	validation_0-mlogloss:0.58509
6723.1s 766 [49]	validation_0-mlogloss:0.58196
6723.2s 767 [50]	validation_0-mlogloss:0.57945
6723.2s 768 [51]	validation_0-mlogloss:0.57673
6723.2s 769 [52]	validation_0-mlogloss:0.57359
6723.2s 770 [53]	validation_0-mlogloss:0.57171
6723.2s 771 [54]	validation_0-mlogloss:0.56956
6723.3s 772 [55]	validation_0-mlogloss:0.56669
6723.3s 773 [56]	validation_0-mlogloss:0.56506
6723.3s 774 [57]	validation_0-mlogloss:0.56253
6723.3s 775 [58]	validation_0-mlogloss:0.56043
6723.3s 776 [59]	validation_0-mlogloss:0.55849
6723.3s 777 [60]	validation_0-mlogloss:0.55677
6723.4s 778 [61]	validation_0-mlogloss:0.55508
6723.4s 779 [62]	validation_0-mlogloss:0.55311
6723.4s 780 [63]	validation_0-mlogloss:0.55166
6723.4s 781 [64]	validation_0-mlogloss:0.54971
6723.4s 782 [65]	validation_0-mlogloss:0.54757
6723.5s 783 [66]	validation_0-mlogloss:0.54562
6723.5s 784 [67]	validation_0-mlogloss:0.54398
6723.5s 785 [68]	validation_0-mlogloss:0.54235
6723.5s 786 [69]	validation_0-mlogloss:0.54054
6723.6s 787 [70]	validation_0-mlogloss:0.53885
6723.6s 788 [71]	validation_0-mlogloss:0.53714
6723.6s 789 [72]	validation_0-mlogloss:0.53584
6723.6s 790 [73]	validation_0-mlogloss:0.53410
6723.7s 791 [74]	validation_0-mlogloss:0.53290
6723.7s 792 [75]	validation_0-mlogloss:0.53165
6723.7s 793 [76]	validation_0-mlogloss:0.53043
6723.7s 794 [77]	validation_0-mlogloss:0.52903
6723.7s 795 [78]	validation_0-mlogloss:0.52774
6723.8s 796 [79]	validation_0-mlogloss:0.52645
6723.8s 797 [80]	validation_0-mlogloss:0.52536
6723.8s 798 [81]	validation_0-mlogloss:0.52406
6723.8s 799 [82]	validation_0-mlogloss:0.52313
6723.9s 800 [83]	validation_0-mlogloss:0.52184
6723.9s 801 [84]	validation_0-mlogloss:0.52059
6723.9s 802 [85]	validation_0-mlogloss:0.51974
6723.9s 803 [86]	validation_0-mlogloss:0.51868
6723.9s 804 [87]	validation_0-mlogloss:0.51701
6724.0s 805 [88]	validation_0-mlogloss:0.51620
6724.0s 806 [89]	validation_0-mlogloss:0.51506
6724.0s 807 [90]	validation_0-mlogloss:0.51406
6724.0s 808 [91]	validation_0-mlogloss:0.51320
6724.1s 809 [92]	validation_0-mlogloss:0.51239
6724.1s 810 [93]	validation_0-mlogloss:0.51166
6724.1s 811 [94]	validation_0-mlogloss:0.51098
6724.2s 812 [95]	validation_0-mlogloss:0.51021
6724.2s 813 [96]	validation_0-mlogloss:0.50974
6724.2s 814 [97]	validation_0-mlogloss:0.50857
6724.3s 815 [98]	validation_0-mlogloss:0.50732
6724.3s 816 [99]	validation_0-mlogloss:0.50629
6724.5s 817 [32m[I 2022-06-15 17:54:52,007][0m Trial 12 finished with value: 0.8009499136442142 and parameters: {'xgb_est': 100, 'xgb_lr': 0.1, 'xgb_booster': 'gbtree'}. Best is trial 9 with value: 0.8009499136442142.[0m
6724.7s 818 precision    recall  f1-score   support
6724.7s 819 
6724.7s 820 0       1.00      1.00      1.00       413
6724.7s 821 1       0.64      0.64      0.64       413
6724.7s 822 2       0.83      0.95      0.88       411
6724.7s 823 3       1.00      1.00      1.00       389
6724.7s 824 4       0.56      0.58      0.57       380
6724.7s 825 5       0.75      0.57      0.65       310
6724.7s 826 
6724.7s 827 accuracy                           0.80      2316
6724.7s 828 macro avg       0.80      0.79      0.79      2316
6724.7s 829 weighted avg       0.80      0.80      0.80      2316
6724.7s 830 
6724.7s 831 (44004, 75)
6724.7s 832 (44004,)
6724.7s 833 (2316, 75)
6724.7s 834 (2316,)
6724.7s 835 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6724.7s 836 UserWarning,
6725.0s 837 [0]	validation_0-mlogloss:1.63593
6725.0s 838 [1]	validation_0-mlogloss:1.51549
6725.0s 839 [2]	validation_0-mlogloss:1.41681
6725.1s 840 [3]	validation_0-mlogloss:1.33329
6725.1s 841 [4]	validation_0-mlogloss:1.26264
6725.1s 842 [5]	validation_0-mlogloss:1.20128
6725.1s 843 [6]	validation_0-mlogloss:1.14691
6725.2s 844 [7]	validation_0-mlogloss:1.09939
6725.2s 845 [8]	validation_0-mlogloss:1.05741
6725.2s 846 [9]	validation_0-mlogloss:1.01892
6725.2s 847 [10]	validation_0-mlogloss:0.98501
6725.2s 848 [11]	validation_0-mlogloss:0.95323
6725.2s 849 [12]	validation_0-mlogloss:0.92339
6725.3s 850 [13]	validation_0-mlogloss:0.89727
6725.3s 851 [14]	validation_0-mlogloss:0.87362
6725.3s 852 [15]	validation_0-mlogloss:0.85157
6725.3s 853 [16]	validation_0-mlogloss:0.83161
6725.3s 854 [17]	validation_0-mlogloss:0.81254
6725.4s 855 [18]	validation_0-mlogloss:0.79590
6725.4s 856 [19]	validation_0-mlogloss:0.78080
6725.4s 857 [20]	validation_0-mlogloss:0.76633
6725.4s 858 [21]	validation_0-mlogloss:0.75324
6725.4s 859 [22]	validation_0-mlogloss:0.74085
6725.5s 860 [23]	validation_0-mlogloss:0.72997
6725.5s 861 [24]	validation_0-mlogloss:0.71980
6725.5s 862 [25]	validation_0-mlogloss:0.71010
6725.5s 863 [26]	validation_0-mlogloss:0.70125
6725.5s 864 [27]	validation_0-mlogloss:0.69325
6725.6s 865 [28]	validation_0-mlogloss:0.68532
6725.6s 866 [29]	validation_0-mlogloss:0.67795
6725.6s 867 [30]	validation_0-mlogloss:0.67030
6725.6s 868 [31]	validation_0-mlogloss:0.66276
6725.6s 869 [32]	validation_0-mlogloss:0.65620
6725.6s 870 [33]	validation_0-mlogloss:0.65017
6725.7s 871 [34]	validation_0-mlogloss:0.64438
6725.7s 872 [35]	validation_0-mlogloss:0.63895
6725.7s 873 [36]	validation_0-mlogloss:0.63405
6725.7s 874 [37]	validation_0-mlogloss:0.62825
6725.7s 875 [38]	validation_0-mlogloss:0.62401
6725.8s 876 [39]	validation_0-mlogloss:0.61888
6725.8s 877 [40]	validation_0-mlogloss:0.61413
6725.8s 878 [41]	validation_0-mlogloss:0.60978
6725.8s 879 [42]	validation_0-mlogloss:0.60526
6725.8s 880 [43]	validation_0-mlogloss:0.60137
6725.8s 881 [44]	validation_0-mlogloss:0.59760
6725.9s 882 [45]	validation_0-mlogloss:0.59409
6725.9s 883 [46]	validation_0-mlogloss:0.59094
6725.9s 884 [47]	validation_0-mlogloss:0.58748
6725.9s 885 [48]	validation_0-mlogloss:0.58509
6725.9s 886 [49]	validation_0-mlogloss:0.58196
6726.0s 887 [50]	validation_0-mlogloss:0.57945
6726.0s 888 [51]	validation_0-mlogloss:0.57673
6726.0s 889 [52]	validation_0-mlogloss:0.57359
6726.0s 890 [53]	validation_0-mlogloss:0.57171
6726.0s 891 [54]	validation_0-mlogloss:0.56956
6726.1s 892 [55]	validation_0-mlogloss:0.56669
6726.1s 893 [56]	validation_0-mlogloss:0.56506
6726.1s 894 [57]	validation_0-mlogloss:0.56253
6726.1s 895 [58]	validation_0-mlogloss:0.56043
6726.1s 896 [59]	validation_0-mlogloss:0.55849
6726.1s 897 [60]	validation_0-mlogloss:0.55677
6726.2s 898 [61]	validation_0-mlogloss:0.55508
6726.2s 899 [62]	validation_0-mlogloss:0.55311
6726.2s 900 [63]	validation_0-mlogloss:0.55166
6726.2s 901 [64]	validation_0-mlogloss:0.54971
6726.2s 902 [65]	validation_0-mlogloss:0.54757
6726.3s 903 [66]	validation_0-mlogloss:0.54562
6726.3s 904 [67]	validation_0-mlogloss:0.54398
6726.3s 905 [68]	validation_0-mlogloss:0.54235
6726.3s 906 [69]	validation_0-mlogloss:0.54054
6726.3s 907 [70]	validation_0-mlogloss:0.53885
6726.4s 908 [71]	validation_0-mlogloss:0.53714
6726.4s 909 [72]	validation_0-mlogloss:0.53584
6726.4s 910 [73]	validation_0-mlogloss:0.53410
6726.4s 911 [74]	validation_0-mlogloss:0.53290
6726.4s 912 [75]	validation_0-mlogloss:0.53165
6726.5s 913 [76]	validation_0-mlogloss:0.53043
6726.5s 914 [77]	validation_0-mlogloss:0.52903
6726.5s 915 [78]	validation_0-mlogloss:0.52774
6726.5s 916 [79]	validation_0-mlogloss:0.52645
6726.5s 917 [80]	validation_0-mlogloss:0.52536
6726.5s 918 [81]	validation_0-mlogloss:0.52406
6726.6s 919 [82]	validation_0-mlogloss:0.52313
6726.6s 920 [83]	validation_0-mlogloss:0.52184
6726.6s 921 [84]	validation_0-mlogloss:0.52059
6726.6s 922 [85]	validation_0-mlogloss:0.51974
6726.6s 923 [86]	validation_0-mlogloss:0.51868
6726.7s 924 [87]	validation_0-mlogloss:0.51701
6726.7s 925 [88]	validation_0-mlogloss:0.51620
6726.7s 926 [89]	validation_0-mlogloss:0.51506
6726.7s 927 [90]	validation_0-mlogloss:0.51406
6726.7s 928 [91]	validation_0-mlogloss:0.51320
6726.7s 929 [92]	validation_0-mlogloss:0.51239
6726.8s 930 [93]	validation_0-mlogloss:0.51166
6726.8s 931 [94]	validation_0-mlogloss:0.51098
6726.8s 932 [95]	validation_0-mlogloss:0.51021
6726.8s 933 [96]	validation_0-mlogloss:0.50974
6726.8s 934 [97]	validation_0-mlogloss:0.50857
6726.8s 935 [98]	validation_0-mlogloss:0.50732
6726.9s 936 [99]	validation_0-mlogloss:0.50629
6726.9s 937 [32m[I 2022-06-15 17:54:54,397][0m Trial 13 finished with value: 0.8009499136442142 and parameters: {'xgb_est': 100, 'xgb_lr': 0.1, 'xgb_booster': 'gbtree'}. Best is trial 9 with value: 0.8009499136442142.[0m
6726.9s 938 precision    recall  f1-score   support
6726.9s 939 
6726.9s 940 0       1.00      1.00      1.00       413
6726.9s 941 1       0.64      0.64      0.64       413
6726.9s 942 2       0.83      0.95      0.88       411
6726.9s 943 3       1.00      1.00      1.00       389
6726.9s 944 4       0.56      0.58      0.57       380
6726.9s 945 5       0.75      0.57      0.65       310
6726.9s 946 
6726.9s 947 accuracy                           0.80      2316
6726.9s 948 macro avg       0.80      0.79      0.79      2316
6726.9s 949 weighted avg       0.80      0.80      0.80      2316
6726.9s 950 
6726.9s 951 (44004, 75)
6726.9s 952 (44004,)
6726.9s 953 (2316, 75)
6726.9s 954 (2316,)
6727.1s 955 [0]	validation_0-mlogloss:1.63593
6727.1s 956 [1]	validation_0-mlogloss:1.51549
6727.1s 957 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6727.1s 958 UserWarning,
6727.1s 959 [2]	validation_0-mlogloss:1.41681
6727.2s 960 [3]	validation_0-mlogloss:1.33329
6727.2s 961 [4]	validation_0-mlogloss:1.26264
6727.2s 962 [5]	validation_0-mlogloss:1.20128
6727.2s 963 [6]	validation_0-mlogloss:1.14691
6727.2s 964 [7]	validation_0-mlogloss:1.09939
6727.3s 965 [8]	validation_0-mlogloss:1.05741
6727.3s 966 [9]	validation_0-mlogloss:1.01892
6727.3s 967 [10]	validation_0-mlogloss:0.98501
6727.3s 968 [11]	validation_0-mlogloss:0.95323
6727.3s 969 [12]	validation_0-mlogloss:0.92339
6727.4s 970 [13]	validation_0-mlogloss:0.89727
6727.4s 971 [14]	validation_0-mlogloss:0.87362
6727.4s 972 [15]	validation_0-mlogloss:0.85157
6727.4s 973 [16]	validation_0-mlogloss:0.83161
6727.4s 974 [17]	validation_0-mlogloss:0.81254
6727.5s 975 [18]	validation_0-mlogloss:0.79590
6727.5s 976 [19]	validation_0-mlogloss:0.78080
6727.5s 977 [20]	validation_0-mlogloss:0.76633
